"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41"
"1","P10","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"2","Automóvil","826","76.5","357","83","469","72.2","0","NaN","307","86.5","264","81.7","170","70.8","69","58","16","37.2","0","NaN","123","65.1","282","74.8","224","81.8","197","82.1","170","70.5","138","86.2","132","83","128","78.5","131","76.2","127","68.6"
"3","Moto / Motocicleta","146","13.5","36","8.4","110","16.9","0","NaN","15","4.2","31","9.6","45","18.8","33","27.7","22","51.2","0","NaN","40","21.2","72","19.1","20","7.3","14","5.8","50","20.7","6","3.8","12","7.5","15","9.2","23","13.4","40","21.6"
"4","Ambas","108","10","37","8.6","71","10.9","0","NaN","33","9.3","28","8.7","25","10.4","17","14.3","5","11.6","0","NaN","26","13.8","23","6.1","30","10.9","29","12.1","21","8.7","16","10","15","9.4","20","12.3","18","10.5","18","9.7"
"5","Otro (Camión de carga)","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","No cuenta con ninguno","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Total","1080","100","430","100","650","100","0","NaN","355","100","323","100","240","100","119","100","43","100","0","NaN","189","100","377","100","274","100","240","100","241","100","160","100","159","100","163","100","172","100","185","100"
"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","P15Autos","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct"
"10","Rr_P15_2_1_r1_Yo","826","100","357","100","469","100","0","NaN","307","100","264","100","170","100","69","100","16","100","0","NaN","123","100","282","100","224","100","197","100","170","100","138","100","132","100","128","100","131","100","127","100"
"11","Rr_P15_2_1_r2_Mi_Esposo___Esposa","125","15.1","75","21","50","10.7","0","NaN","46","15","40","15.2","25","14.7","10","14.5","4","25","0","NaN","8","6.5","31","11","51","22.8","35","17.8","20","11.8","28","20.3","25","18.9","28","21.9","11","8.4","13","10.2"
"12","Rr_P15_2_1_r3_Mi_Pap____Mam","73","8.8","39","10.9","34","7.2","0","NaN","35","11.4","15","5.7","10","5.9","10","14.5","3","18.8","0","NaN","39","31.7","28","9.9","5","2.2","1","0.5","20","11.8","16","11.6","7","5.3","11","8.6","6","4.6","13","10.2"
"13","Rr_P15_2_1_r4_Hijos___Hijas","31","3.8","16","4.5","15","3.2","0","NaN","14","4.6","10","3.8","6","3.5","0","0","1","6.2","0","NaN","0","0","1","0.4","6","2.7","24","12.2","9","5.3","7","5.1","6","4.5","3","2.3","2","1.5","4","3.1"
"14","Rr_P15_2_1_r5_Otro_familiar","13","1.6","4","1.1","9","1.9","0","NaN","3","1","4","1.5","3","1.8","3","4.3","0","0","0","NaN","3","2.4","5","1.8","2","0.9","3","1.5","3","1.8","3","2.2","1","0.8","4","3.1","2","1.5","0","0"
"15","Rr_P15_2_1_No_sabe__no_contest","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Total","826","100","357","100","469","100","0","NaN","307","100","264","100","170","100","69","100","16","100","0","NaN","123","100","282","100","224","100","197","100","170","100","138","100","132","100","128","100","131","100","127","100"
"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
